t,x,v
8.14,-0.280046,-1.1055
8.15,-0.224222,-0.807165
8.16,-0.333919,-1.12199
8.17,-0.306454,-1.00225
8.18,-0.31777,-0.889739
8.19,-0.336626,-0.984537
8.2,-0.475818,-0.848368
8.21,-0.409715,-0.876091
8.22,-0.0696245,-0.865905
8.23,-0.332847,-1.0055
8.24,-0.443014,-0.954817
8.25,-0.348031,-1.11756
8.26,-0.476791,-0.93842
8.27,-0.305154,-0.898414
8.28,-0.450623,-0.845784
8.29,-0.183098,-0.807352
8.3,-0.585097,-0.756333
8.31,-0.41122,-0.967599
8.32,-0.429152,-0.898922
8.33,-0.521922,-0.71722
8.34,-0.588596,-0.911173
8.35,-0.316732,-0.901577
8.36,-0.44951,-0.894056
8.37,-0.484427,-0.845341
8.38,-0.552454,-0.949515
8.39,-0.539737,-0.898409
8.4,-0.553333,-0.763377
8.41,-0.546987,-0.858286
8.42,-0.629588,-0.864285
8.43,-0.668232,-0.874853
8.44,-0.513014,-0.865957
8.45,-0.506238,-0.916849
8.46,-0.508001,-0.828584
8.47,-0.659339,-0.952349
8.48,-0.770884,-0.677801
8.49,-0.49845,-0.753309
8.5,-0.456365,-0.713395
8.51,-0.670925,-0.780407
8.52,-0.765182,-0.753486
8.53,-0.641778,-0.793683
8.54,-0.688059,-0.828227
8.55,-0.54923,-0.814057
8.56,-0.787518,-0.822826
8.57,-0.696392,-0.858801
8.58,-0.668136,-0.897297
8.59,-0.627449,-0.648435
8.6,-0.665403,-0.800817
8.61,-0.49563,-0.745475
8.62,-0.77866,-0.671676
8.63,-0.678792,-0.603571
8.64,-0.666051,-0.841498
8.65,-0.695281,-0.652911
8.66,-0.689133,-0.648963
8.67,-0.689309,-0.652845
8.68,-0.907263,-0.664364
8.69,-0.666783,-0.686896
8.7,-0.872673,-0.81435
8.71,-0.741372,-0.72582
8.72,-0.684638,-0.687813
8.73,-0.87104,-0.839985
8.74,-0.889633,-0.402444
8.75,-0.808721,-0.69323
8.76,-0.666256,-0.348056
8.77,-0.721841,-0.342704
8.78,-0.663022,-0.525488
8.79,-0.69084,-0.605838
8.8,-0.814409,-0.539786
8.81,-0.863143,-0.625341
8.82,-0.840346,-0.478581
8.83,-0.876408,-0.721097
8.84,-0.790446,-0.638167
8.85,-0.737035,-0.553705
8.86,-0.816495,-0.760679
8.87,-0.901168,-0.550014
8.88,-0.68913,-0.475768
8.89,-0.641455,-0.483506
8.9,-0.878294,-0.546742
8.91,-0.957345,-0.430782
8.92,-0.830771,-0.440956
8.93,-0.936003,-0.434617
8.94,-0.941373,-0.478399
8.95,-0.750265,-0.376343
8.96,-0.961423,-0.375897
8.97,-0.872632,-0.259091
8.98,-0.97762,-0.362849
8.99,-0.91096,-0.445574
9,-0.838029,-0.512051
9.01,-0.871032,-0.246791
9.02,-0.966773,-0.369431
9.03,-1.08136,-0.469722
9.04,-0.839059,-0.282289
9.05,-0.913769,-0.574306
9.06,-0.893946,-0.511998
9.07,-0.748801,-0.302653
9.08,-0.996908,-0.210007
9.09,-0.883721,-0.30386
9.1,-0.850438,-0.404442
9.11,-0.980416,-0.336766
9.12,-0.854185,-0.326784
9.13,-0.923006,-0.326828
9.14,-0.765968,-0.269041
9.15,-0.867257,-0.29825
9.16,-0.849863,-0.315117
9.17,-0.953868,-0.338887
